company_name,primary_role,permalink,domain,homepage_url,country_code,state_code,region,city,zipcode,address,status,short_description,category_list,category_group_list,funding_rounds,funding_total_usd,founded_on,first_funding_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,cb_url,logo_url,profile_image_url,twitter_url,alias,uuid,created_at,updated_at
Quidd,company,/organization/quidd,myquidd.com,http://myquidd.com,USA,NY,New York City,Brooklyn,11201,"20 Jay Street, #908",operating,Quidd is a platform for collecting one-of-a-kind digital goods.,consumer software|marketplace|mobile apps,apps|commerce and shopping|mobile|software,1,6750000,2015-05-20,2017-03-07,2017-03-07,,11-50,contact@myquidd.com,,https://www.facebook.com/myquidd/,,https://www.crunchbase.com/organization/quidd,https://www.crunchbase.com/organization/quidd/primary-image/raw,http://public.crunchbase.com/t_api_images/v1474315128/m0cpc0wv2rni2osqmwcd.png,https://www.twitter.com/quidd,,ed75f74e-6c63-5543-c912-6154420fb791,2016-09-16 16:27:05.070595,2017-03-09 18:57:25.945278
Radiaction,company,/organization/radiaction,radiactionmedical.com,http://www.radiactionmedical.com/,ISR,,Tel Aviv,Tel Aviv,,27 Habarzel St.,operating,Radiaction develops technology that provides comfort and radiation safety for personnel performing fluoroscopy-guided procedures.,manufacturing|medical|medical device,health care|manufacturing,1,5700000,,2017-03-07,2017-03-07,,-,,,,,https://www.crunchbase.com/organization/radiaction,https://www.crunchbase.com/organization/radiaction/primary-image/raw,http://public.crunchbase.com/t_api_images/v1485337284/btengf18k8zgvhxhumtp.png,,,f6ec1f40-c3da-b8e5-644d-ffea8fd4dfbd,2017-01-25 09:42:34.537138,2017-03-07 13:05:46.969332
Thefloow,company,/organization/thefloow,thefloow.com,http://www.thefloow.com/,GBR,,Sheffield,Sheffield,S3 8GW,The Floow Ltd 4th Floor OXO House 4 Joiner Street,operating,The FLOOW designs the world's most advanced and lowest-cost telematic systems to make vehicles safer and cheaper for all.,automotive|fleet management|information technology,information technology|transportation,2,16600000,2012-01-01,2014-07-09,2017-03-07,,11-50,,+44 114 270 1114,https://www.facebook.com/pages/the-floow-ltd/379443882156052,https://www.linkedin.com/company/the-floow-limited,https://www.crunchbase.com/organization/thefloow,https://www.crunchbase.com/organization/thefloow/primary-image/raw,http://public.crunchbase.com/t_api_images/v1440757572/hgdmyldqh4anbvt4plp2.png,https://www.twitter.com/thefloowltd,,75a96b9e-2154-1c80-77a4-2390957b21a0,2015-08-28 10:26:15,2017-03-07 10:00:23.8744
Tylko,company,/organization/tylko-2,tylko.com,http://tylko.com/,,,,,,,operating,Tylko makes it possible to adapt pre-designed furniture to individual needs and have it made to order.,e-commerce|furniture|mobile,commerce and shopping|consumer goods|mobile,1,3179380.65664809,2014-02-24,2017-03-07,2017-03-07,,-,hello@tylko.com,,https://www.facebook.com/tylko/,https://www.linkedin.com/company/tylko,https://www.crunchbase.com/organization/tylko-2,https://www.crunchbase.com/organization/tylko-2/primary-image/raw,http://public.crunchbase.com/t_api_images/v1458707373/gcjz2fvhvu2spknsk0cw.png,https://www.twitter.com/tylko_furniture,,d8fd2d08-01f2-5ffd-e868-f96a101e27b6,2015-03-30 18:27:40,2017-03-08 18:58:14.506824
Wrapify,company,/organization/wrapify,wrapify.com,http://wrapify.com,USA,CA,SF Bay Area,San Francisco,92075,535 Mission St,operating,"Get your brand in motion on the roads and freeways. Create, manage and scale ad campaigns on vehicles all over the country.",advertising|advertising platforms,advertising|sales and marketing,4,5800000,2015-02-01,2015-01-01,2017-03-07,,11-50,info@wrapify.com,(844)972-7439,https://www.facebook.com/pages/wrapify/1560956280815305,https://www.linkedin.com/company/9442403,https://www.crunchbase.com/organization/wrapify,https://www.crunchbase.com/organization/wrapify/primary-image/raw,http://public.crunchbase.com/t_api_images/v1431074387/pemzjjo8ynfyv5rjwazk.png,https://www.twitter.com/wrapify,"[""Wrapify"", ""Inc.""]",fe5e8f0c-1824-3e36-cf5f-5896b3f52d44,2015-05-08 08:41:48,2017-03-08 03:27:55.941608
Conversion Logic,company,/organization/conversion-logic,conversionlogic.com,http://www.conversionlogic.com/,USA,CA,Los Angeles,Los Angeles,90025,"12300 Wilshire Blvd, Suite 200",operating,Machine learning + cloud analytics for Enterprise B2C Marketers - the most intuitive cross-channel measurement and attribution platform.,analytics|saas|software,data and analytics|software,3,14100000,2014-01-01,2014-08-14,2017-03-08,,-,,,https://www.facebook.com/conversionlg/,http://www.linkedin.com/company/conversion-logic,https://www.crunchbase.com/organization/conversion-logic,https://www.crunchbase.com/organization/conversion-logic/primary-image/raw,http://public.crunchbase.com/t_api_images/v1409072970/wbvz3dlkgprebxklmbg3.png,https://www.twitter.com/conversionlg,,eddd774b-8e4a-d4d1-03f7-5eecceb0edb5,2014-08-14 21:27:52,2017-03-09 03:40:34.650779
Currencycloud,company,/organization/the-currency-cloud,currencycloud.com,https://www.currencycloud.com,GBR,,London,London,,"",operating,"Currencycloud‘s Payment Engine is the power inside countless businesses, driving the transformation of the global payments landscape. The co",b2b|compliance|developer apis|enterprise software|fintech|payments|real time,financial services|payments|professional services|software,5,59421316.5531754,2012-01-01,2012-03-13,2017-03-08,,101-250,marketing@currencycloud.com,+442035974885,http://facebook.com/currencycloud,http://www.linkedin.com/company/2060102,https://www.crunchbase.com/organization/the-currency-cloud,https://www.crunchbase.com/organization/the-currency-cloud/primary-image/raw,http://public.crunchbase.com/t_api_images/v1473754943/qflux092k4p3ijjaqt6n.jpg,https://www.twitter.com/currency_cloud,,ceb8af38-5b39-70f6-d8eb-0b1c5fa3931c,2012-03-14 13:48:26,2017-03-09 13:50:54.602707
Dream Payments,company,/organization/dream-payments,dreampayments.com,http://www.dreampayments.com,CAN,ON,Toronto,Toronto,M6K 3P6,"171 East Liberty Street, Unit 253",operating,Dream Payments enables merchants to sell everywhere using mobile devices.,financial services|fintech|mobile payments,financial services|mobile|payments|software,3,17500000,2014-01-01,2015-03-26,2017-03-08,,11-50,,,https://www.facebook.com/pages/dream-payments-corp/363157473832447?ref=aymt_homepage_panel,https://www.linkedin.com/company/dream-payments-corp-,https://www.crunchbase.com/organization/dream-payments,https://www.crunchbase.com/organization/dream-payments/primary-image/raw,http://public.crunchbase.com/t_api_images/v1427429608/kndmaawdddtl4pq0voff.png,https://www.twitter.com/dreampayments,,4425199c-3133-34d0-932a-68db926fd128,2015-03-27 04:14:03,2017-03-11 23:07:19.075863
Easemob Technologies,company,/organization/easemob,easemob.com,http://www.easemob.com/,CHN,,Beijing,Beijing,,"31st, Tower A, Cyber Tower, NO.2 Zhongguancun Nandajie, Haidiian District",operating,"EaseMob is a PaaS-based platform that allows developers to integrate instant messaging, voice, and data services to their apps.",customer service|messaging|mobile apps,apps|information technology|internet services|messaging and telecommunications|mobile|software,5,36224002.641932,2013-01-01,2014-05-01,2017-03-08,,101-250,sales@easemob.com,(400) 036-8099,,https://www.linkedin.com/company/%e7%8e%af%e4%bf%a1%e5%8d%b3%e6%97%b6%e9%80%9a%e8%ae%af%e4%ba%91,https://www.crunchbase.com/organization/easemob,https://www.crunchbase.com/organization/easemob/primary-image/raw,http://public.crunchbase.com/t_api_images/v1438170007/ajyoroacjzgyumyy24ro.png,https://www.twitter.com/easemob,,eb27a6bc-44a9-3faf-a6e6-fd410a9de594,2015-07-29 11:40:12,2017-03-09 15:07:45.601659
Fluxx,company,/organization/fluxx,fluxx.io,http://fluxx.io,USA,CA,SF Bay Area,San Francisco,94102,"575 Sutter Street, First Floor",operating,Fluxx’s cloud-based platforms empower the philanthropic ecosystem with efficient workflow management and access to strategic insights.,big data|crm|enterprise software|impact investing|information technology,data and analytics|financial services|information technology|lending and investments|sales and marketing|software,2,26200000,2011-01-01,2015-08-26,2017-03-08,,51-100,chloe@fluxxlabs.com,(855) 358-9946,https://www.facebook.com/fluxx.io,https://www.linkedin.com/company/1448580,https://www.crunchbase.com/organization/fluxx,https://www.crunchbase.com/organization/fluxx/primary-image/raw,http://public.crunchbase.com/t_api_images/v1428533224/kjtnyiy1vlc10udhs04s.png,https://www.twitter.com/fluxxlabs,,712d6d10-323b-d668-c8bb-660ac5fc0000,2011-06-23 21:20:41,2017-03-09 18:01:01.549759
Goldbely,company,/organization/goldbely,goldbely.com,https://www.goldbely.com,USA,CA,SF Bay Area,San Francisco,94107,1 Bluxome Street,operating,Goldbely lets consumers buy food directly from the country's best small food makers & artisans,e-commerce|food and beverage|online portals,commerce and shopping|food and beverage|internet services,3,13000000,2013-01-01,2013-09-17,2017-03-08,,11-50,info@goldbely.com,+1 (888) 675-6892,https://www.facebook.com/goldbely,http://www.linkedin.com/company/goldbely-com,https://www.crunchbase.com/organization/goldbely,https://www.crunchbase.com/organization/goldbely/primary-image/raw,http://public.crunchbase.com/t_api_images/v1457742443/rwyuuzzl2ptp2q4bx27x.png,https://www.twitter.com/goldbely,,4bffef2f-c6da-7804-60af-cd27ce84062e,2012-08-11 02:35:42,2017-03-09 02:31:02.604626
Identify3D,company,/organization/identify3d,identify3d.com,http://www.identify3d.com,USA,CA,SF Bay Area,San Francisco,94131,4 Joost Avenue,operating,"Identify3d provides intellectual property protection, quality assurance, and data security in all phases of digital manufacturing.",digital media|intellectual property|security,media and entertainment|privacy and security|professional services,2,699971,2014-01-01,2015-06-04,2017-03-08,,1-10,,(866) 479-8045,,https://www.linkedin.com/company/identify3d,https://www.crunchbase.com/organization/identify3d,https://www.crunchbase.com/organization/identify3d/primary-image/raw,http://public.crunchbase.com/t_api_images/v1434718612/begzzeabdwwmz8jt6uqy.png,https://www.twitter.com/identify3d,,5b53145d-6b5b-cf3b-d10e-1c3f3c2d4d04,2015-06-19 12:58:30,2017-03-09 04:00:58.297105
ID.me,company,/organization/id-me,id.me,https://www.id.me,USA,VA,"Washington, D.C.",Mclean,22102,8281 Greensboro Dr. Suite 600,operating,ID.me is a digital identity network that empowers relying parties to grant access or benefits based on verified identity and attributes.,cloud data services|e-commerce platforms|identity management|privacy,commerce and shopping|information technology|internet services|privacy and security,11,45845000,2010-01-01,2010-07-16,2017-03-08,,11-50,help@ID.me,(866) 775-4363,http://www.facebook.com/idmeinc,http://www.linkedin.com/company/id.me,https://www.crunchbase.com/organization/id-me,https://www.crunchbase.com/organization/id-me/primary-image/raw,http://public.crunchbase.com/t_api_images/v1489092241/ckidpjuwjzg9qqcyikde.png,https://www.twitter.com/idme,[],8e90d05f-a415-dad9-1b01-621527979843,2013-03-18 18:23:47,2017-03-09 22:03:04.86533
Khorus,company,/organization/khorus,khorus.com,http://khorus.com,USA,TX,Austin,Austin,78746,8012 Bee Cave Rd,operating,Khorus is an enterprise platform designed to help CEOs run their companies better.,product design|saas|software,design|software,2,6600000,2012-01-01,2015-04-13,2017-03-08,,11-50,support@khorus.com,1(512) 201-8371,http://www.facebook.com/pages/khorus/263184980518960,http://www.linkedin.com/company/3262882,https://www.crunchbase.com/organization/khorus,https://www.crunchbase.com/organization/khorus/primary-image/raw,http://public.crunchbase.com/t_api_images/v1412179781/sqxnolsvtanmtc8acj25.png,https://www.twitter.com/thekhorus,,8ac22ef0-cbc8-4ab9-973d-666c4fa3b706,2014-08-18 19:24:19,2017-03-09 15:44:31.94552
Kinsa,company,/organization/kinsa-inc,kinsahealth.com,http://www.kinsahealth.com,USA,CA,SF Bay Area,San Francisco,94105,"535 Mission Street, 18th Fl",operating,Kinsa is creating the world's first real-time map of human health.,child care|fitness|health care|mhealth,health care|mobile|sports,4,29170000,2012-03-27,2012-08-14,2017-03-08,,11-50,info@kinsahealth.com,,http://www.facebook.com/kinsahealth,https://www.linkedin.com/company/kinsa,https://www.crunchbase.com/organization/kinsa-inc,https://www.crunchbase.com/organization/kinsa-inc/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397752173/4593af186fb825de03339dcd15ed25da.png,https://www.twitter.com/kinsa,"[""Transform Health""]",ac5f8ab1-6880-5a45-2803-1027b860938f,2013-04-11 08:16:25,2017-03-09 15:20:02.135105
Magicbricks,company,/organization/magicbricks,magicbricks.com,http://magicbricks.com,IND,,New Delhi,Noida,201301,"",operating,Magicbricks is a real estate portal that offers a platform for property buyers and sellers to locate properties of interest.,commercial real estate|online portals|real estate,internet services|real estate,1,4502032.10474128,2006-01-01,2017-03-08,2017-03-08,,501-1000,support@magicbricks.com,+01244869300,https://www.facebook.com/magicbricks/,http://www.linkedin.com/company/3786271,https://www.crunchbase.com/organization/magicbricks,https://www.crunchbase.com/organization/magicbricks/primary-image/raw,http://public.crunchbase.com/t_api_images/v1470288120/bvnri440zxeytg2asmpg.jpg,https://www.twitter.com/magicbricks,,33d53333-3a05-21f0-f981-fc44bd10cfea,2014-12-01 13:27:45,2017-03-08 06:08:24.33648
Odilo,company,/organization/odilo,odilo.us,http://www.odilo.us,USA,NY,New York City,New York,10010,149 E 23RD ST,operating,"Odilo allows any library, school, university, corporation or municipality to offer all kinds of digital content to their users.",ebooks|information technology|software,content and publishing|information technology|media and entertainment|software,3,10576662.6786219,2011-01-01,2014-09-19,2017-03-08,,101-250,marketing@odilotid.es,(786) 220-4693,http://www.facebook.com/pages/odilotid/124710827585515,http://www.linkedin.com/company/odilotid,https://www.crunchbase.com/organization/odilo,https://www.crunchbase.com/organization/odilo/primary-image/raw,http://public.crunchbase.com/t_api_images/v1411096417/s7iprjjw6uug32v6jfwh.png,https://www.twitter.com/odilotid,,150349f3-d37d-c854-0cd5-a08a549129a2,2014-09-18 08:23:03,2017-03-10 16:32:58.907719
ScyllaDB,company,/organization/scylladb,scylladb.com,http://www.scylladb.com/,ISR,,Tel Aviv,Herzliya,46722,11 Galgali Haplada St.,operating,ScyllaDB produces a NoSQL database compatible with Apache Cassandra at 10x the throughput and jaw dropping low latency.,enterprise software|information services|information technology,information technology|software,3,23000000,2012-01-01,2013-09-16,2017-03-08,,11-50,info@scylladb.com,,https://www.facebook.com/scylladb/,https://www.linkedin.com/company/scylladb,https://www.crunchbase.com/organization/scylladb,https://www.crunchbase.com/organization/scylladb/primary-image/raw,http://public.crunchbase.com/t_api_images/v1454618538/w6ev4iqgjinarvjkmuej.png,https://www.twitter.com/scylladb,,43f8d872-fee9-bd9c-049e-4f4098eb9266,2016-02-04 20:43:27.287824,2017-03-08 17:50:38.243836
Veem,company,/organization/align-commerce,veem.com,http://www.veem.com/,USA,CA,SF Bay Area,San Francisco,94111,"One Embarcadero Center, Suite 500",operating,Veem (formerly Align Commerce) is a next generation payment service provider (PSP) for global commerce.,bitcoin|fintech|information technology|payments,financial services|information technology|payments|software,5,44250000,2014-02-01,2014-07-01,2017-03-08,,11-50,info@aligncommerce.com,(800) 535-3385,https://www.facebook.com/aligncommerce,http://www.linkedin.com/company/3674020,https://www.crunchbase.com/organization/align-commerce,https://www.crunchbase.com/organization/align-commerce/primary-image/raw,http://public.crunchbase.com/t_api_images/v1488990843/p07xj3v0e5qumoz5excd.png,https://www.twitter.com/aligncommerce,"[""Align Commerce""]",f6fd5955-c39a-a845-c08f-c29088d44fb6,2014-08-18 14:03:44,2017-03-09 03:38:17.071758
Virta,company,/organization/virta,virtahealth.com,http://virtahealth.com,USA,CA,SF Bay Area,San Francisco,94105,535 Mission Street,operating,Virta is an online specialty medical clinic that reverses type 2 diabetes safely and sustainably.,apps|health care|medical,apps|health care|software,1,37000000,2014-05-20,2017-03-08,2017-03-08,,51-100,,,,https://www.linkedin.com/company/virta-health,https://www.crunchbase.com/organization/virta,https://www.crunchbase.com/organization/virta/primary-image/raw,http://public.crunchbase.com/t_api_images/v1484615627/ldqyqlkn90e7ktjucaxy.png,https://www.twitter.com/virtahealth,,63192beb-82c3-b85e-f731-dbc2aee7e551,2017-01-17 01:15:28.824312,2017-03-09 15:10:52.442416
Airbnb,company,/organization/airbnb,airbnb.com,http://airbnb.com,USA,CA,SF Bay Area,San Francisco,94103,888 Brannan Street,operating,"Airbnb is an online community marketplace for people to list, discover, and book accommodations around the world.",hospitality|marketplace|sharing economy|travel|travel accommodations,commerce and shopping|travel and tourism,11,4398082100,2008-08-01,2009-01-01,2017-03-09,,1001-5000,press@airbnb.com,,http://www.facebook.com/airbnb,http://www.linkedin.com/company/airbnb,https://www.crunchbase.com/organization/airbnb,https://www.crunchbase.com/organization/airbnb/primary-image/raw,http://public.crunchbase.com/t_api_images/v1405534850/vubc5kxhmw6jalain0ot.jpg,https://www.twitter.com/airbnb,,bcb617c3-9e43-d5b0-1d14-82b795f2642f,2008-07-31 11:41:35,2017-03-13 04:18:28.643198
Alternate Health,company,/organization/alternate-health,alternatehealth.ca,http://www.alternatehealth.ca,CAN,ON,Toronto,Toronto,M5H 3V5,56 Temperance Street Suite 300,ipo,Alternate Health is a diversified healthcare investment and Holdings Company.,health care,health care,1,5572327.57361045,2014-01-01,2017-03-09,2017-03-09,,-,info@alternatehealth.ca,(416)607-5757,,,https://www.crunchbase.com/organization/alternate-health,https://www.crunchbase.com/organization/alternate-health/primary-image/raw,http://public.crunchbase.com/t_api_images/v1489041307/vzd4mv7ztv0ffmihzdww.png,,,62fa6837-f4b1-3318-29ca-74f5b47c1153,2017-03-09 06:35:39.854711,2017-03-10 10:53:51.820881
Astro Technology,company,/organization/astro-technology,helloastro.com,https://www.helloastro.com,USA,CA,SF Bay Area,Palo Alto,94306,3335 Birch Street,operating,"Astro Technology offers modern email apps, powered by artificial intelligence.",collaboration|email|enterprise software|mobile apps,apps|information technology|internet services|messaging and telecommunications|mobile|software,1,8000000,2015-01-01,2017-03-09,2017-03-09,,11-50,hello@helloastro.com,,https://www.facebook.com/helloastro,https://www.linkedin.com/company/astro-technology-inc.,https://www.crunchbase.com/organization/astro-technology,https://www.crunchbase.com/organization/astro-technology/primary-image/raw,http://public.crunchbase.com/t_api_images/v1489165261/dk6ubtvfdlfwh1wbpcsq.png,https://www.twitter.com/astro,,068eccb0-0f38-92f8-354a-a1c164fbf94a,2016-10-11 14:58:53.363447,2017-03-10 17:01:05.421975
Chairish,company,/organization/chairish,chairish.com,http://www.chairish.com,USA,CA,SF Bay Area,San Francisco,94111,"570 Pacific Ave, 2nd Floor",operating,Chairish is an online marketplace where design lovers buy and sell vintage and used furniture and decor to one another,furniture|internet,consumer goods|internet services,3,16675000,2013-01-01,2013-07-18,2017-03-09,,11-50,admin@chairish.com,855-790-7300,http://www.facebook.com/chairishco,http://www.linkedin.com/company/chairish,https://www.crunchbase.com/organization/chairish,https://www.crunchbase.com/organization/chairish/primary-image/raw,http://public.crunchbase.com/t_api_images/v1454104830/hxywttobvjuwnll7sbni.jpg,https://www.twitter.com/chairishco,,a7656ca1-854d-852a-370b-5eeaf16a326a,2013-03-01 13:05:35,2017-03-09 15:57:06.68656
Chowbotics,company,/organization/casabots,chowbotics.com,http://www.chowbotics.com,USA,CA,SF Bay Area,San Jose,95113,"1 South Market Street, Suite 1107",operating,Chowbotics uses robots to solve several problems in food service including compromised cleanliness and inefficiency.,food and beverage|hotel|restaurants,food and beverage|travel and tourism,2,6300000,2014-08-23,2016-02-19,2017-03-09,,-,info@chowbotics.com,,https://www.facebook.com/chowbotics/,,https://www.crunchbase.com/organization/casabots,https://www.crunchbase.com/organization/casabots/primary-image/raw,http://public.crunchbase.com/t_api_images/v1489162423/uihtpjzpzdmjjfftpjwu.png,https://www.twitter.com/chowbotics,"[""Casabots""]",1e893f24-3917-f751-5822-0bad02318dd2,2016-02-05 07:03:54.107757,2017-03-10 16:14:38.114641
